idx,mae,rmse,corr,ssim,bias,std_ratio,pred_min,pred_max,gt_min,gt_max
7.300000000000000000e+01,1.215500850230455399e-02,1.585882902145385742e-02,9.277411400369997008e-01,3.211732014961228843e-01,-6.949156522750854492e-05,9.559859633445739746e-01,9.233711753040552139e-04,2.152711451053619385e-01,0.000000000000000000e+00,2.108195871114730835e-01
7.400000000000000000e+01,1.215634401887655258e-02,1.581799425184726715e-02,9.278158705462821176e-01,3.288093496048246078e-01,-6.222054362297058105e-04,9.716526269912719727e-01,9.082001633942127228e-04,2.076631784439086914e-01,0.000000000000000000e+00,2.130891084671020508e-01
7.500000000000000000e+01,1.235447358340024948e-02,1.604576408863067627e-02,9.256057921428817448e-01,3.117883612542061145e-01,-1.672282814979553223e-04,9.744994044303894043e-01,9.226574329659342766e-04,2.020774036645889282e-01,0.000000000000000000e+00,2.072414755821228027e-01
7.600000000000000000e+01,1.247661933302879333e-02,1.623397879302501678e-02,9.254795123466653672e-01,3.093062923517048701e-01,-2.072229981422424316e-04,9.766058921813964844e-01,9.788442403078079224e-04,2.142244577407836914e-01,0.000000000000000000e+00,2.110768258571624756e-01
7.700000000000000000e+01,1.258708443492650986e-02,1.635127700865268707e-02,9.312423479160888418e-01,3.563021521773510059e-01,-1.971118152141571045e-03,9.377851486206054688e-01,1.076060580089688301e-03,2.082127183675765991e-01,0.000000000000000000e+00,2.408117800951004028e-01
7.800000000000000000e+01,1.264632958918809891e-02,1.643300615251064301e-02,9.278536872563997173e-01,3.375259040102850383e-01,-2.469778060913085938e-03,9.671120643615722656e-01,1.215380616486072540e-03,2.180639505386352539e-01,0.000000000000000000e+00,2.387333065271377563e-01
7.900000000000000000e+01,1.240538805723190308e-02,1.610377617180347443e-02,9.325132907143754979e-01,3.594274684575863299e-01,-2.709209918975830078e-03,9.583806395530700684e-01,1.281516742892563343e-03,2.223519831895828247e-01,0.000000000000000000e+00,2.384711354970932007e-01
8.000000000000000000e+01,1.277184952050447464e-02,1.664379797875881195e-02,9.342526894778566682e-01,3.495613805741025204e-01,-4.040114581584930420e-03,9.304711818695068359e-01,1.277504954487085342e-03,2.165042012929916382e-01,0.000000000000000000e+00,2.389962077140808105e-01
8.100000000000000000e+01,1.294462755322456360e-02,1.679661124944686890e-02,9.300825410766488943e-01,3.362584517089417524e-01,-3.762014210224151611e-03,9.482858777046203613e-01,1.222837017849087715e-03,2.293866723775863647e-01,0.000000000000000000e+00,2.380465269088745117e-01
8.200000000000000000e+01,1.237701717764139175e-02,1.609212346374988556e-02,9.352581728479079093e-01,3.570593037991031671e-01,-3.361277282238006592e-03,9.528729915618896484e-01,1.210309099406003952e-03,2.268706709146499634e-01,0.000000000000000000e+00,2.340230792760848999e-01
8.300000000000000000e+01,1.281285844743251801e-02,1.666777394711971283e-02,9.384482514762588767e-01,3.673616844031779016e-01,-5.387648940086364746e-03,9.287107586860656738e-01,1.219521975144743919e-03,2.255905419588088989e-01,0.000000000000000000e+00,2.424376308917999268e-01
8.400000000000000000e+01,1.301018986850976944e-02,1.692232489585876465e-02,9.365867638497537007e-01,3.487279363792392672e-01,-5.221247673034667969e-03,9.250496625900268555e-01,1.236643176525831223e-03,2.166172266006469727e-01,0.000000000000000000e+00,2.402045726776123047e-01
8.500000000000000000e+01,1.281043607741594315e-02,1.660781539976596832e-02,9.353560495703769906e-01,3.519529769991779911e-01,-4.656143486499786377e-03,9.446461200714111328e-01,1.242752885445952415e-03,2.218005061149597168e-01,0.000000000000000000e+00,2.406146079301834106e-01
8.600000000000000000e+01,1.282527297735214233e-02,1.662474870681762695e-02,9.392298520879274193e-01,3.710886285628136605e-01,-5.325637757778167725e-03,9.294354915618896484e-01,1.248502056114375591e-03,2.247139662504196167e-01,0.000000000000000000e+00,2.451828867197036743e-01
8.700000000000000000e+01,1.261705439537763596e-02,1.639780960977077484e-02,9.358853917665709288e-01,3.373545059748191410e-01,-3.040857613086700439e-03,9.351693987846374512e-01,1.277531380765140057e-03,2.173407673835754395e-01,0.000000000000000000e+00,2.365678250789642334e-01
8.800000000000000000e+01,1.255204528570175171e-02,1.636371947824954987e-02,9.405409926580410307e-01,3.687108813370713611e-01,-3.599219024181365967e-03,9.161085486412048340e-01,1.250135246664285660e-03,2.215539067983627319e-01,0.000000000000000000e+00,2.536993622779846191e-01
8.900000000000000000e+01,1.225709356367588043e-02,1.592491380870342255e-02,9.407210440936424334e-01,3.780557688921685200e-01,-3.176935017108917236e-03,9.374003410339355469e-01,1.246778527274727821e-03,2.199386060237884521e-01,0.000000000000000000e+00,2.528665065765380859e-01
9.000000000000000000e+01,1.225163601338863373e-02,1.590759493410587311e-02,9.443744381132975763e-01,3.837105718168629109e-01,-2.489544451236724854e-03,9.142274856567382812e-01,1.153088407590985298e-03,2.320182025432586670e-01,0.000000000000000000e+00,2.561013698577880859e-01
9.100000000000000000e+01,1.230994425714015961e-02,1.602123677730560303e-02,9.394878459525174419e-01,3.535362060291430408e-01,-1.902334392070770264e-03,9.375812411308288574e-01,1.131264027208089828e-03,2.324737608432769775e-01,0.000000000000000000e+00,2.453077882528305054e-01
9.200000000000000000e+01,1.243726070970296860e-02,1.621679961681365967e-02,9.423900143696527509e-01,3.821153264921657300e-01,-2.855107188224792480e-03,9.173911809921264648e-01,1.120115281082689762e-03,2.342370748519897461e-01,0.000000000000000000e+00,2.699696123600006104e-01
9.300000000000000000e+01,1.240102387964725494e-02,1.614847220480442047e-02,9.426682023366390606e-01,3.846474318228650380e-01,-2.644572407007217407e-03,9.230728745460510254e-01,1.072119688615202904e-03,2.378598451614379883e-01,0.000000000000000000e+00,2.720709741115570068e-01
9.400000000000000000e+01,1.217977236956357956e-02,1.587878167629241943e-02,9.488508770663073300e-01,4.114705123771639772e-01,-2.867680042982101440e-03,9.218039512634277344e-01,7.823020569048821926e-04,2.410138547420501709e-01,0.000000000000000000e+00,2.827103734016418457e-01
9.500000000000000000e+01,1.282341592013835907e-02,1.671238429844379425e-02,9.464315726881287194e-01,3.770762392327107193e-01,-3.535546362400054932e-03,9.088800549507141113e-01,7.086897967383265495e-04,2.397608906030654907e-01,0.000000000000000000e+00,2.686383426189422607e-01
9.600000000000000000e+01,1.238998863846063614e-02,1.611429266631603241e-02,9.484594198970214274e-01,4.104606548277837663e-01,-3.081474453210830688e-03,9.263949394226074219e-01,5.238291923888027668e-04,2.594487369060516357e-01,0.000000000000000000e+00,2.852136790752410889e-01
9.700000000000000000e+01,1.307607721537351608e-02,1.701125130057334900e-02,9.454068564552307041e-01,3.744434323491423466e-01,-4.221297800540924072e-03,9.226151704788208008e-01,3.381689311936497688e-04,2.599735558032989502e-01,0.000000000000000000e+00,2.695215940475463867e-01
9.800000000000000000e+01,1.313562598079442978e-02,1.717255450785160065e-02,9.438282845686806199e-01,3.730248094734670561e-01,-2.529200166463851929e-03,9.170895218849182129e-01,2.356854674872010946e-04,2.402352988719940186e-01,0.000000000000000000e+00,2.783979177474975586e-01
9.900000000000000000e+01,1.387012656778097153e-02,1.802245154976844788e-02,9.402323643727046321e-01,3.602269787450303462e-01,-1.140188425779342651e-03,9.120713472366333008e-01,1.048710473696701229e-04,2.463186383247375488e-01,0.000000000000000000e+00,2.748687267303466797e-01
